STOCK,HOLD PRICE,QTY,CURRENT PRICE,% CHANGE,BROKER
APPL,151.71,14.74,,,SYFE
AMZN,118.71,5.17,,,
ARKG,35.18,200,,,
CLR,0.848,1171,,,
COIN,49.75,20,,,
DIS,98.88,12,,,
GOOG,121.33,4.285,,,
META,94.98,1.916,,,
MSFT,279.35,4.714,,,
NFLX,166.89,16,,,
NVDA,300.25,1.732,,,
RBLX,26.17,24.053,,,
TQQQ,31.01,80,,,
TSLA,229.79,7,,,
KWEB,67.28,150,,,IBKR
GRAB,10.82,500,,,
DIS,182.6,28,,,
LCID,26.35,50,,,
SOFI,17.91,100,,,
ARKK,120.88,7,,,
PLTR,24.52,100,,,
CENN,6.89,33,,,
SE,152.29,2,,,
TQQQ,59.85,10,,,
GLDC,27.21,10,,,
SQQQ,50.5,2,,,
BITO,31.67,5,,,
F,11.23,52,,,
INDA,44.44,2,,,
RBLX,35.9,30,,,
APPL,137.04,20,,,
META,227.08,10,,,